siteID,ELEV_MEAN_M_BASIN,ELEV_MAX_M_BASIN,ELEV_MIN_M_BASIN,ELEV_MEDIAN_M_BASIN,ELEV_STD_M_BASIN,ELEV_SITE_M,RRMEAN,SLOPE_PCT,ASPECT_DEGREES,PPTAVG_BASIN,PPTAVG_SITE,T_AVG_BASIN,T_AVG_SITE,T_MAX_BASIN,T_MAXSTD_BASIN,T_MAX_SITE,T_MIN_BASIN,T_MINSTD_BASIN,T_MIN_SITE,RH_BASIN,RH_SITE,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,JAN_PPT7100_CM,FEB_PPT7100_CM,MAR_PPT7100_CM,APR_PPT7100_CM,MAY_PPT7100_CM,JUN_PPT7100_CM,JUL_PPT7100_CM,AUG_PPT7100_CM,SEP_PPT7100_CM,OCT_PPT7100_CM,NOV_PPT7100_CM,DEC_PPT7100_CM,JAN_TMP7100_DEGC,FEB_TMP7100_DEGC,MAR_TMP7100_DEGC,APR_TMP7100_DEGC,MAY_TMP7100_DEGC,JUN_TMP7100_DEGC,JUL_TMP7100_DEGC,AUG_TMP7100_DEGC,SEP_TMP7100_DEGC,OCT_TMP7100_DEGC,NOV_TMP7100_DEGC,DEC_TMP7100_DEGC,STREAMS_KM_SQ_KM,MAINSTEM_SINUOUSITY,BFI_AVE,TOPWET,CONTACT,RUNAVE7100,WB5100_JAN_MM,WB5100_FEB_MM,WB5100_MAR_MM,WB5100_APR_MM,WB5100_MAY_MM,WB5100_JUN_MM,WB5100_JUL_MM,WB5100_AUG_MM,WB5100_SEP_MM,WB5100_OCT_MM,WB5100_NOV_MM,WB5100_DEC_MM,WB5100_ANN_MM,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,WATERNLCD06,RIP100_DEV,RIP100_FOREST,RIP100_PLANT,RIP100_11,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,GEOL_REEDBUSH_DOM_PCT
s320,384.4,1912,7,367,184.3,11,0.198,11.6,157.9,118.03,117.89,6.13,10.1,12.03,1.664,15.8,0,1.625,3.9,66.9,66,560.5,33.2,0.06,9.22,7.13,9.17,9.33,10.46,10.71,10.83,11.38,10.07,10.25,10.35,9.15,-8.1,-7.08,-1.69,5.07,11.75,16.62,19.17,18.09,13.72,7.78,1.6,-5.24,0.69,1.43,47.6,11.11,68,642,16.9,10.3,22,86.1,121.2,86.2,51.8,35.5,33.3,42.9,54.2,32,592.4,6.89,77.87,6.36,1.88,9.58,65.41,7.62,5.49,0.13,3.75,1.37,1.57,3.99,50.39,6.04,49.02,44.95,0.24,101.98,80.4
s322,93.9,259,14,77,49.7,21,0.326,4.2,241.7,121.11,118.99,9.47,9.9,15.16,0.373,15.6,3.19,0.342,3.7,65.1,65,663.9,25.4,0.027,10.01,7.56,10.04,10.36,10.43,10.09,10.12,10.65,10.53,10.71,10.58,9.69,-4.01,-2.95,2.06,8.29,14.21,19.07,21.81,20.87,16.46,10.55,4.93,-1.33,0.7,1.54,52.9,12.19,35.5,679,32.2,28.7,67.5,110.4,76.9,47.6,26.7,19.2,20.6,28,49.5,48.3,555.7,17.97,41.68,35.21,0.28,14.48,38.93,34.85,1.45,0.11,7.62,1.42,1.85,4.53,56.34,5.61,41.33,53.06,0.24,140.43,100
s330,279.8,353,232,277,26.3,217,0.395,4.2,36.3,135.68,134.73,8.24,8.3,13.85,0.192,14.3,1.91,0.151,2.3,66,66,612.1,27.9,0.029,11.09,8.81,11.69,11.2,11.82,11.13,11.36,12.39,12.02,11.81,11.56,10.59,-5.38,-4.37,0.65,7.12,13.04,17.83,20.42,19.48,15.21,9.32,3.77,-2.59,0.17,1.13,52.7,10.43,34,697,33.8,24.9,62.7,131.8,111.8,68.7,40.8,32,35.8,46.8,70.9,57.7,717.7,9.57,64.04,17.65,0.31,8.82,32.27,0.75,0,0.12,6.12,1.37,3.25,3.56,58.08,5.45,41.68,52.87,0.22,149.46,100
s331,338.8,637,55,350,109.1,81,0.488,9,129.9,134.04,132.24,7.61,9.3,13.27,0.868,15.4,1.55,0.548,3.5,66.6,66,594.7,29.9,0.026,10.81,8.72,11.41,11.23,12.16,11.18,11.35,11.87,11.57,11.57,11.61,10.83,-5.96,-4.97,0.04,6.6,12.7,17.42,20.04,19.07,14.74,8.93,3.24,-3.21,0.61,1.21,47.6,11.26,47.7,696.4,27.4,18.7,46.1,120.7,125.4,77.3,45.7,33.2,35.8,46.4,67.6,49.3,693.5,7.4,80.25,3.12,3.87,10.54,64.16,2.78,10.99,0.12,4.02,1.42,2.52,4.01,50.46,5.94,47.55,46.51,0.2,144.01,51.3
s333,271.6,637,39,274,136.8,70,0.389,7.9,116.2,132.51,121.3,8.11,9.7,13.83,1.111,15.4,2,0.872,3.6,66.3,66,612.3,28.4,0.026,10.74,8.55,11.26,11.13,11.95,10.99,11.18,11.73,11.52,11.53,11.49,10.64,-5.44,-4.41,0.6,7.1,13.14,17.9,20.53,19.57,15.23,9.38,3.72,-2.69,0.62,1.88,48.7,11.48,87,696.5,29.7,22.4,54.4,119.9,112.2,69,40.5,29.6,32,42.3,63.7,50.4,666.1,14.35,71.6,5.02,2.93,14.73,59.21,4.97,8.38,0.12,4.74,1.41,2.38,4.04,51.66,5.99,46.73,47.28,0.21,144.08,66.4
s337,136.4,322,17,127,67.2,17,0.391,5.1,263.1,123.72,118.57,9,9.8,14.77,0.476,15.4,2.88,0.506,4.1,65.6,66,640.8,25.9,0.026,10.37,7.71,10.32,10.71,10.47,10.24,10.33,11.08,10.67,10.98,10.86,9.96,-4.17,-3.19,1.78,7.88,13.79,18.66,21.35,20.44,16.13,10.27,4.71,-1.51,0.6,1.66,52.4,11.92,47.2,678.9,32.4,28.3,65.7,111.5,79.4,48.8,27.7,20.5,22.4,30.7,52.3,50,569.7,44.7,40.81,6.89,1.56,39.26,34.58,6.32,5.1,0.12,6.45,1.43,2.42,4.08,52.35,5.87,43.98,50.15,0.23,138.99,100
s339,147.4,273,20,148,38.2,22,0.503,6,177,130.37,131.53,9.04,9.5,14.86,0.293,15.4,3.4,0.4,3.2,66,66,635.6,25.2,0.018,11.4,8.51,11.28,11.37,10.64,10.29,10.5,11.41,10.99,11.64,11.85,10.9,-3.69,-2.78,2.03,8.01,13.76,18.67,21.46,20.57,16.26,10.44,4.96,-1.16,0.63,1.45,52.6,12.54,34.5,679.1,40.4,37.1,78,119.3,81.8,50.4,28.5,20.5,21.9,32.2,57.7,57.8,625.4,11.36,64.28,6.84,0.81,10.57,48.09,3.63,1.56,0.13,4.15,1.4,3.1,3.75,54.43,6.1,45.78,48.12,0.21,143.16,100
s342,71.3,144,12,69,28.5,17,0.449,4.1,145,127.65,126.68,9.95,9.9,15.43,0.157,15.7,4.28,0.21,4.6,66,66,657.6,23.8,0.015,11.37,8.53,11.05,11.75,10.46,10.06,9.82,11.09,10.15,10.78,11.85,10.84,-2.35,-1.49,2.74,8.34,13.83,18.81,21.87,21.25,17.28,11.51,5.96,0,1.2,1.16,47.6,11.67,39,723,48.2,48.5,88.6,107.7,71.3,45,25.5,18.7,17.5,25.9,50.6,58.9,606.4,12.02,75.79,3.03,0.16,12.16,75.73,2.22,0.49,0.13,3.67,1.4,3.23,3.61,54.53,6.27,46.48,47.25,0.21,161.29,100
s345,91.6,310,6,71,57.5,6,0.282,5.3,115.5,130.89,130.52,9.93,10.4,15.41,0.356,15.9,4.13,0.555,4.2,66.7,67,671.9,22.7,0.018,10.98,8.27,11.16,11.4,11.3,10.6,10.93,11.23,11.12,11.73,11.47,10.54,-3.15,-2.15,2.57,8.69,14.48,19.45,22.2,21.22,16.92,11.08,5.52,-0.65,0.59,1.57,49.8,11.84,44.4,721,46.1,45.7,87.5,107.7,73.4,46,26.5,18.2,19.5,31,54,59.8,615.4,55.96,36.02,1.62,1.15,46.91,33.98,1.44,3.95,0.13,5.97,1.4,1.89,4.08,51.68,6.64,47.64,45.72,0.25,151.69,100
s351,388.9,797,195,364,118,197,0.322,9.9,167.8,122.82,117.82,7.11,8.1,12.86,0.935,14.6,1.14,0.327,1.8,67.6,66,576.2,29.6,0.067,9.1,7.48,9.7,10.24,12.29,10.48,11.36,12.11,10.5,9.96,10.25,9.24,-6.5,-5.52,-0.43,6.16,12.42,17.12,19.69,18.71,14.38,8.62,2.82,-3.76,0.57,1.92,45.4,11.58,85,660.4,20.8,13,33.2,107.2,114.1,69.1,42.1,29.7,31.5,40.3,57.2,38.7,596.8,9.83,69.25,10.09,2.04,12.94,49.72,10.94,5.7,0.13,3.39,1.43,2.65,4.27,46.8,9.56,53.27,37.16,0.24,128.43,75.3
s358,166.4,323,77,160,46.2,92,0.364,6.9,359.8,133.53,131.57,9.7,9.8,15.55,0.255,15.8,4.29,0.478,3.7,67,66,661.9,23.2,0.032,11.13,8.16,11.66,11.12,11.94,11.2,11.73,11.45,12.62,10.74,11.37,10.57,-3.21,-1.98,2.72,8.94,14.74,19.59,22.28,21.33,17.13,11.25,5.52,-0.66,1,1.84,49.4,12.45,26,660.5,42.7,40.5,83.5,110.2,78.7,46.6,28.6,22.4,24.7,34.2,59.3,59.4,630.8,44.34,45.95,3.19,2.24,39.54,42.95,2.92,5.06,0.13,5.24,1.39,4.17,3.62,53.39,6.19,44.78,49.03,0.22,161.86,89.8
s365,295.2,797,10,284,127.1,20,0.362,9.8,189.7,125.65,137.26,8.17,10.2,13.96,1.245,15.8,2.25,1.108,4,66.8,67,611.4,27.1,0.053,9.75,7.69,10.32,10.5,11.86,10.62,11.55,11.75,11.08,10.37,10.53,9.67,-5.26,-4.21,0.76,7.24,13.29,18.04,20.67,19.71,15.46,9.62,3.84,-2.6,0.74,1.41,48,11.7,51.2,663.7,27.9,22,53,112.1,97.2,59.4,36.6,27.1,28.3,37.3,56.5,45.9,603.1,10.65,67.23,12.58,2.52,12.92,54.02,12.18,6.89,0.13,3.98,1.42,2.95,4.2,49.87,7.74,49.64,42.62,0.23,137.74,78.4
s369,237.8,531,31,231,81.5,39,0.414,8,152.7,132.8,131.47,8.78,9.8,14.45,0.854,15.8,2.71,0.907,4.1,66.3,67,630.2,25.7,0.03,10.75,8.36,11.48,11.14,11.78,10.77,11.31,12.14,11.68,11.47,11.41,10.56,-4.6,-3.57,1.31,7.67,13.55,18.37,21.02,20.05,15.83,10.02,4.4,-1.92,0.76,1.2,47.7,11.3,37,668.2,36.7,31.5,70.6,121.3,96.2,58.5,34.8,27,28.6,39.5,62.6,56.3,663.7,26.48,59.76,7.63,1.87,27.77,52.34,5.69,5.89,0.13,4.18,1.41,3.12,3.82,51.8,6.25,46.3,47.45,0.21,145.8,92.6
s370,77,178,6,71,40.5,9,0.413,3.4,138.1,126.02,120.23,10.8,10.8,15.81,0.119,15.7,5.75,0.222,6.2,67.9,68,700.8,20.7,0.016,10.76,7.94,11.25,11.21,11.58,10.17,10.42,10.66,10.79,10.44,10.95,9.87,-1.65,-0.66,3.59,9.32,14.9,19.95,22.99,22.17,18.1,12.22,6.7,0.76,0.78,1.32,46.5,11.39,50.3,621,47.3,48.3,85.4,88,60.4,38.1,22.2,15,13.3,20.9,40.3,54.6,534,92.36,6.5,0,0.88,85.03,10.32,0,4.07,0.12,4.88,1.43,2.85,3.82,50.69,6.14,46.11,47.75,0.21,161.47,100
s372,69.7,122,17,72,23.7,23,0.502,3.4,191.2,127.62,125.22,10.54,10.6,16.04,0.046,16,5.4,0.13,5.8,67.5,68,691.2,20,0.019,10.87,7.91,11.16,11.33,11.91,10.31,10.44,10.76,11.21,10.56,11.09,9.85,-1.68,-0.67,3.61,9.44,14.96,20.01,23.02,22.16,18.09,12.16,6.68,0.73,1.39,1.21,49.1,11.61,58.4,621,48,48,84.8,87.4,61,37.8,22.1,15.1,14.1,21.8,40.9,55.1,536.1,38.7,50.47,1.07,0,29.23,53.8,0.89,0,0.12,6.44,1.39,2.81,4.07,55.86,5.33,41.85,52.82,0.21,162.38,100
s373,174.5,299,88,172,35.3,93,0.41,8.1,198.5,133.4,133.29,9.78,9.9,15.68,0.176,15.9,4.99,0.238,5.1,67,67,665.2,23,0.028,11.12,8.19,11.64,11.32,12.37,10.9,11.41,11.59,12.22,11.04,11.61,10.4,-2.59,-1.32,3.26,9.37,15.15,19.95,22.69,21.73,17.5,11.66,6.03,-0.03,1.22,1.36,48.1,11.7,36.2,619.2,43.6,42.2,86.6,112.2,79.1,47.4,28.6,21.9,23.9,33.2,58.6,60.4,637.8,13.22,75.93,2.78,1.18,15.04,66.42,2.02,3.47,0.13,4.49,1.41,2.95,4.14,52.22,6.02,45.6,48.38,0.21,157.45,100
s389,36.1,96,5,36,10.4,11,0.342,1.1,142.3,122.01,124.15,11.05,10.9,15.87,0.061,15.9,6.41,0.124,6.2,68,68,704.2,19,0.013,10.53,8.41,10.98,10.95,10.24,9.93,9.09,10.83,9.54,10.07,10.78,10.64,-0.76,-0.12,4.01,9.26,14.77,19.86,22.91,22.29,18.54,12.74,7.36,1.63,0.04,1.36,84.8,13.11,57.4,231.4,57.5,59.1,90.8,86.6,59.6,36.8,21.7,15.3,12.8,21,38.1,60.9,560.2,66.75,27.65,2.08,0.24,18.25,39.47,0.56,4.38,0.06,13.49,1.46,0.5,5.42,54.12,4.39,24.93,70.68,0.24,167.06,100
s437,313,641,189,290,85.2,199,0.274,6.5,3.1,106.23,102,7.61,8.4,13.04,0.599,13.8,1.92,0.302,2.4,67.6,67,604,28.7,0.086,7.15,6.17,8.33,8.9,9.72,10.54,10.33,9.56,9.88,8.24,9.05,7.79,-6.41,-5.47,-0.4,6.64,13.08,18.09,20.54,19.53,15.37,9.3,3.22,-3.49,0.78,1.91,37.2,11.46,387.8,776.7,16.7,10.5,30,101.6,97.6,58,33.6,21.6,21.3,27.7,44.2,30.5,493.5,6.16,27.38,59.75,0.1,7.15,22.93,61.32,0.19,0.15,0.73,1.42,2.42,1.79,52.34,28.37,53.18,18.45,0.38,95.02,100
s453,104.5,150,75,103,11,88,0.394,1.3,187.8,97.81,97.53,8.6,8.6,14.01,0.112,14.1,2.94,0.101,3,69.9,70,648.2,26.5,0.098,6.66,5.5,7.7,7.96,9.33,10.37,9.09,9.5,8.55,8.24,8.13,6.76,-5.64,-4.33,0.95,7.77,14.09,19.12,21.72,20.62,16.13,9.93,4.18,-2.56,0.33,1.9,45,12.55,76,764.2,11.9,9.5,39.4,87.2,60.2,35.4,20,12.9,11,14.9,22.3,19.3,344,55.42,12.71,3.22,0.11,40.78,14.3,1.18,0.35,0.1,8.44,1.4,0.94,3.56,48.34,12.05,36.17,51.78,0.24,94.59,100
s474,223.6,546,115,207,75,116,0.252,7.8,122.4,122.22,119.3,8.83,9,15.25,0.532,15.9,3.48,0.185,3.6,66.2,66,631.9,23.3,0.061,9.44,7.41,9.95,10.92,11.56,11.51,10.99,10.56,11.27,9.59,9.86,9.17,-3.5,-2.75,2.3,8.62,14.54,19.18,21.82,20.79,16.86,10.81,4.9,-1.24,0.74,2.38,47.6,11.7,153.6,573,31.8,27.1,65.3,107.5,77.9,50.2,32.5,24.9,27.4,31.7,49.7,47.1,573,12.16,43.97,30.05,2.28,11.18,30.97,29.21,4.35,0.13,2.92,1.3,7.79,3.11,51.07,11.6,51.11,37.29,0.26,150.21,67.3
s501,64.7,237,6,55,40.1,8,0.254,4.7,111,127.78,122.92,10.8,11.2,16.09,0.195,16.6,5.47,0.269,5.9,67.6,67,707.5,18.6,0.041,10.47,7.99,10.72,11.17,12.17,11.16,11.12,10.93,11.57,10.12,10.76,9.58,-1.77,-0.81,3.94,10.14,15.6,20.49,23.26,22.32,18.22,12.22,6.61,0.59,0.88,2.19,47.7,12.55,77.9,475.1,45.1,47.8,82.2,81.3,56.5,33.5,21.5,14.5,17.7,23.2,43.8,53.8,520.8,63.47,19.57,1.16,5.72,51.08,16.59,1.05,12.91,0.14,3.55,1.36,2.34,3.25,43.12,9.34,53.17,37.49,0.25,159.82,61.7
s515,121.9,330,50,105,61.5,50,0.257,4.4,98.2,132.27,130.04,10.23,10.8,16.34,0.299,16.7,4.01,0.609,4.9,64.8,64,678.4,19.7,0.054,10.63,7.76,10.8,11.29,12.47,11.73,12.52,11.2,12.18,10.34,11.12,10.07,-2.31,-1.58,3.21,9.21,14.86,19.78,22.48,21.51,17.55,11.47,5.76,-0.14,0.77,1.45,46.7,12.39,188.2,479.4,45.6,44,84.5,93.4,68.4,41.8,28.2,20.3,24.1,30.8,51.7,57.6,590.3,52.03,29.29,2.22,1.34,36.74,28.57,1.86,2.94,0.12,4.22,1.41,2.69,3.36,44.87,13.18,44.52,42.3,0.27,163.74,55.4
s518,317.2,453,173,318,52.5,173,0.515,8.4,163.7,132.07,133.55,8.58,9,14.88,0.482,15.7,3.19,0.249,3.3,66.8,66,615.9,23.3,0.04,10.87,8.15,11.25,11.43,11.99,11.83,11.71,11.1,12.56,10.3,11.09,10.18,-3.68,-3.07,1.88,8.22,14.13,18.71,21.41,20.39,16.57,10.62,4.59,-1.54,0.74,1.87,44.6,11.54,103.6,483.4,41.4,34.3,77.2,121.6,93.3,60.4,39.7,32,36.4,44.5,67,60.2,708,5.73,72.1,0.55,5.59,7.65,47.6,0.64,18.7,0.08,2.24,1.39,2.52,2.72,56.17,9.66,41.45,48.89,0.19,172.07,63
s526,228.6,428,76,231,74.1,78,0.434,10.8,231.8,131.92,128.98,9.48,10,15.27,0.399,16,3.89,0.311,4.6,67,66,653.7,22.1,0.051,10.53,7.94,10.96,11.41,12.72,11.78,11.87,11.37,12.21,10.27,11.27,9.86,-3.22,-2.43,2.52,8.74,14.63,19.4,22.04,21.05,17.11,11.1,5.26,-0.89,0.75,1.28,44.8,11.58,50.3,471.4,40.5,36.7,78,110.3,81.5,51,32.6,25.8,29.2,36.4,59.2,56.7,637.9,21.57,64.95,0.99,3.07,26.26,47.16,1.17,6.64,0.12,3.76,1.43,1,4.86,43.49,7.24,48.7,44.06,0.22,163.25,69.5
s529,183,453,39,172,96.9,39,0.348,7.4,139.5,131.56,130.87,9.76,11,15.76,0.718,16.9,3.93,0.597,5.3,65.9,65,662.4,20.9,0.048,10.63,7.93,10.9,11.31,12.32,11.68,11.97,11.24,12.29,10.21,11.12,10.04,-2.75,-2.03,2.83,8.95,14.71,19.53,22.22,21.24,17.31,11.28,5.48,-0.55,0.79,2.83,43.9,12.08,162.8,478.8,43.7,40.8,81.5,101.8,75.2,47.1,31.1,23.7,27.3,34.2,55.8,58,620.1,31.78,49.24,1.76,3.5,26.59,37.27,1.4,8.52,0.1,3.36,1.41,2.07,3.33,48.63,11.45,44.17,44.37,0.24,164.45,52
